"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\comments.js", "JavaScript", 104, 1, 5, 110
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\schedule.js", "JavaScript", 59, 0, 8, 67
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\users.js", "JavaScript", 75, 0, 8, 83
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\workouts.js", "JavaScript", 48, 0, 6, 54
"Total", "-", 286, 1, 27, 314
