"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\comments.js", "JavaScript", 104, 1, 5, 110
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\measurements.js", "JavaScript", 53, 0, 6, 59
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\schedule.js", "JavaScript", 59, 0, 8, 67
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\users.js", "JavaScript", 75, 0, 8, 83
"c:\Users\stelm\OneDrive - Kaunas University of Technology\IV kursas-1\Saityno taikomųjų programų projektavimas\Workout planner\Backend\routes\workouts.js", "JavaScript", 47, 0, 6, 53
"Total", "-", 338, 1, 33, 372
